"State","County","RuralUrbanContinuum1993"
"GA","021",2
"GA","023",6
"GA","025",9
"GA","027",7
"GA","029",2
"GA","031",6
"GA","033",6
"GA","035",6
"GA","037",8
"GA","039",6
"GA","043",7
"GA","045",1
"GA","047",2
"GA","049",8
"GA","051",2
"GA","053",2
"GA","055",7
"GA","057",1
"GA","059",3
"GA","061",9
"GA","063",0
"GA","065",7
"GA","067",0
"GA","069",7
"GA","071",7
"GA","073",2
"GA","075",7
"GA","077",1
"GA","079",8
"GA","081",6
"GA","083",2
"GA","085",8
"GA","087",6
"GA","089",0
"GA","091",7
"GA","093",6
"GA","095",3
"GA","097",0
"GA","099",6
"GA","101",9
"GA","103",2
"GA","105",6
"GA","107",7
"GA","109",8
"GA","111",9
"GA","113",1
"GA","115",4
"GA","117",1
"GA","119",8
"GA","121",0
"GA","123",8
"GA","125",9
"GA","127",5
"GA","129",6
"GA","131",6
"GA","133",6
"GA","135",0
"GA","137",7
"GA","139",6
"GA","141",9
"GA","143",6
"GA","145",2
"GA","147",6
"GA","149",8
"GA","151",1
"GA","153",2
"GA","155",7
"GA","157",6
"GA","159",8
"GA","161",7
"GA","163",8
"GA","165",7
"GA","167",9
"GA","169",2
"GA","171",6
"GA","173",9
"GA","175",6
"GA","177",3
"GA","179",4
"GA","181",8
"GA","183",9
"GA","185",5
"GA","187",7
"GA","189",2
"GA","191",9
"GA","193",6
"GA","195",3
"GA","197",8
"GA","199",6
"GA","201",9
"GA","205",6
"GA","207",6
"GA","209",9
"GA","211",6
"GA","213",7
"GA","215",2
"GA","217",1
"GA","219",3
"GA","221",8
"GA","223",1
"GA","225",2
"GA","227",1
"GA","229",7
"GA","231",8
"GA","233",6
"GA","235",6
"GA","237",6
"GA","239",9
"GA","241",9
"GA","243",7
"GA","245",2
"GA","247",1
"GA","249",9
"GA","251",6
"GA","253",6
"GA","255",1
"GA","257",7
"GA","259",8
"GA","261",6
"GA","263",8
"GA","265",9
"GA","267",7
"GA","269",8
"GA","271",7
"GA","273",6
"GA","275",6
"GA","277",7
"GA","279",7
"GA","281",9
"GA","283",7
"GA","285",4
"GA","287",7
"GA","289",2
"GA","291",9
"GA","293",7
"GA","295",2
"GA","297",1
"GA","299",7
"GA","301",8
"GA","303",7
"GA","305",7
"GA","307",8
"GA","309",9
"GA","311",9
"GA","313",4
"GA","315",9
"GA","317",6
"GA","319",8
