Primary Site,Histology,Schema
101,"8000-9139,9141-9589,9700-9701,9730,9743-9749,9759,9763,9770-9799,9802-9804,9810,9819,9821-9822,9824-9825,9828-9830,9838-9839,9841-9859,9862,9864,9868,9877-9890,9892-9894,9899-9909,9912-9919,9921-9929,9932-9939,9941-9944,9947,9949,9951-9959,9968-9969,9972-9974,9976-9979,9981,9988,9993-9999",18
"110-113,118-119","8000-9139,9141-9589,9700-9701,9730,9743-9749,9759,9763,9770-9799,9802-9804,9810,9819,9821-9822,9824-9825,9828-9830,9838-9839,9841-9859,9862,9864,9868,9877-9890,9892-9894,9899-9909,9912-9919,9921-9929,9932-9939,9941-9944,9947,9949,9951-9959,9968-9969,9972-9974,9976-9979,9981,9988,9993-9999",19
"129-132,138-139","8000-9139,9141-9589,9700-9701,9730,9743-9749,9759,9763,9770-9799,9802-9804,9810,9819,9821-9822,9824-9825,9828-9830,9838-9839,9841-9859,9862,9864,9868,9877-9890,9892-9894,9899-9909,9912-9919,9921-9929,9932-9939,9941-9944,9947,9949,9951-9959,9968-9969,9972-9974,9976-9979,9981,9988,9993-9999",20
"140,142,148","8000-9139,9141-9589,9700-9701,9730,9743-9749,9759,9763,9770-9799,9802-9804,9810,9819,9821-9822,9824-9825,9828-9830,9838-9839,9841-9859,9862,9864,9868,9877-9890,9892-9894,9899-9909,9912-9919,9921-9929,9932-9939,9941-9944,9947,9949,9951-9959,9968-9969,9972-9974,9976-9979,9981,9988,9993-9999",21
"150-155,158-159","8000-9139,9141-9589,9700-9701,9730,9743-9749,9759,9763,9770-9799,9802-9804,9810,9819,9821-9822,9824-9825,9828-9830,9838-9839,9841-9859,9862,9864,9868,9877-9890,9892-9894,9899-9909,9912-9919,9921-9929,9932-9939,9941-9944,9947,9949,9951-9959,9968-9969,9972-9974,9976-9979,9981,9988,9993-9999",22
"160-166,168-169","8000-9139,9141-9589,9700-9701,9730,9743-9749,9759,9763,9770-9799,9802-9804,9810,9819,9821-9822,9824-9825,9828-9830,9838-9839,9841-9859,9862,9864,9868,9877-9890,9892-9894,9899-9909,9912-9919,9921-9929,9932-9939,9941-9944,9947,9949,9951-9959,9968-9969,9972-9974,9976-9979,9981,9988,9993-9999",23
"170-173,178-179","8000-9139,9141-9589,9700-9701,9730,9743-9749,9759,9763,9770-9799,9802-9804,9810,9819,9821-9822,9824-9825,9828-9830,9838-9839,9841-9859,9862,9864,9868,9877-9890,9892-9894,9899-9909,9912-9919,9921-9929,9932-9939,9941-9944,9947,9949,9951-9959,9968-9969,9972-9974,9976-9979,9981,9988,9993-9999",24
180-189,"8000-9139,9141-9589,9700-9701,9730,9743-9749,9759,9763,9770-9799,9802-9804,9810,9819,9821-9822,9824-9825,9828-9830,9838-9839,9841-9859,9862,9864,9868,9877-9890,9892-9894,9899-9909,9912-9919,9921-9929,9932-9939,9941-9944,9947,9949,9951-9959,9968-9969,9972-9974,9976-9979,9981,9988,9993-9999",25
"199,209","8000-9139,9141-9589,9700-9701,9730,9743-9749,9759,9763,9770-9799,9802-9804,9810,9819,9821-9822,9824-9825,9828-9830,9838-9839,9841-9859,9862,9864,9868,9877-9890,9892-9894,9899-9909,9912-9919,9921-9929,9932-9939,9941-9944,9947,9949,9951-9959,9968-9969,9972-9974,9976-9979,9981,9988,9993-9999",26
"210-212,218","8000-9139,9141-9589,9700-9701,9730,9743-9749,9759,9763,9770-9799,9802-9804,9810,9819,9821-9822,9824-9825,9828-9830,9838-9839,9841-9859,9862,9864,9868,9877-9890,9892-9894,9899-9909,9912-9919,9921-9929,9932-9939,9941-9944,9947,9949,9951-9959,9968-9969,9972-9974,9976-9979,9981,9988,9993-9999",27
