Schema,Lymph Nodes,Node Recode,
1,490,3
1,500,3
1,510,3
1,520,7
1,600,3
1,700,3
1,800,3
1,999,9
28,000,6
28,"100,110",3
28,"120,130,140,200,300,310",7
28,"350,500,805",3
28,800,3
28,999,9
47,000,6
47,100,3
47,200,3
47,500,3
47,600,7
47,800,3
47,999,9
92,"000,100,300,600,700,800,988,999",9
55,000,9
55,"100,115,125,130,135,140",9
55,"200,215,225,230,240",9
55,"300,315,400,405",9
55,"800,850",9
55,999,9
39,000,6
39,100,3
39,120,7
39,180,3
39,190,3
39,200,3
39,220,7
39,290,3
39,300,3
39,320,7
39,400,3
39,420,7
39,490,3
39,500,3
39,520,7
39,600,3
39,700,3
39,800,3
39,999,9
54,"000,010",6
54,100,3
54,"110,115,118",7
54,"120,121,122,123,124",3
54,"125,128",3
54,"151,152,153,154,155,158",3
54,130,2
54,140,2
54,150,3
54,170,3
54,180,3
54,"190,195",7
54,200,4
54,220,4
54,223,7
54,225,3
54,800,3
54,999,9
82,000,6
82,100,3
82,800,3
82,999,9
79,000,6
79,100,3
79,800,3
79,999,9
81,000,6
81,100,3
81,800,3
81,999,9
83,000,6
83,100,3
83,800,3
83,999,9
38,000,6
38,100,3
38,120,7
38,800,3
38,999,9
37,000,6
37,100,3
37,120,7
37,180,3
37,190,3
37,200,3
37,220,7
37,290,3
37,300,3
37,320,7
37,400,3
37,420,7
37,490,3
37,500,3
37,520,7
37,600,3
37,700,3
37,800,3
37,999,9
19,000,6
19,"050,060,070,100",3
19,105,3
19,110,3
19,115,3
19,"120,125",7
19,130,7
19,180,3
19,"200,205",3
19,210,3
19,"215,220,225",7
19,300,3
19,310,3
19,320,7
19,400,3
19,405,3
19,"410,415",3
19,420,3
19,"425,430",7
19,"490,500",3
19,505,3
19,"510,515",3
19,"520,525",7
19,530,7
19,600,3
19,620,3
19,650,7
19,700,3
19,750,7
19,800,3
19,999,9
85,000,6
85,100,3
85,800,3
85,999,9
17,000,6
17,100,3
17,110,3
17,120,7
17,180,3
17,190,3
17,200,3
17,210,3
17,220,7
17,290,3
17,300,3
17,310,3
17,320,7
17,400,3
17,410,3
17,420,7
17,490,3
17,500,3
17,510,3
17,520,7
17,600,3
17,700,3
17,800,3
17,999,9
65,000,6
65,100,3
65,800,3
65,999,9
32,000,6
32,100,3
32,"110,150,160",3
32,200,3
32,210,3
32,300,3
32,500,3
32,"600,700",3
32,800,3
32,999,9
88,988,9
36,000,6
36,100,3
36,800,3
36,999,9
90,000,6
90,"100,105,110",3
90,"200,300",3
90,800,3
90,988,9
90,999,9
80,000,6
80,100,3
80,800,3
80,999,9
66,000,6
66,100,3
66,800,3
66,999,9
8,000,6
8,100,3
8,120,7
8,180,3
8,190,3
8,"200,210",3
8,220,7
8,290,3
8,300,3
8,320,7
8,400,3
8,420,7
8,490,3
8,500,3
8,520,7
8,600,3
8,700,3
8,800,3
8,999,9
94,988,9
45,000,6
45,100,3
45,110,3
45,120,7
45,180,3
45,190,3
45,200,3
45,210,3
45,220,7
45,290,3
45,300,3
45,310,3
45,320,7
45,400,3
45,410,3
45,420,7
45,490,3
45,500,3
45,510,3
45,520,7
45,600,3
45,700,3
45,800,3
45,999,9
3,000,6
3,100,3
3,110,3
3,120,7
3,180,3
3,190,3
3,200,3
3,210,3
3,220,7
3,290,3
3,300,3
3,310,3
3,320,7
3,400,3
3,410,3
3,420,7
3,490,3
3,500,3
3,510,3
3,520,7
3,600,3
3,700,3
3,800,3
3,999,9
71,000,6
71,100,3
71,800,3
71,999,9
12,000,6
12,100,3
12,120,7
12,180,3
12,190,3
12,200,3
12,220,7
12,290,3
12,300,3
12,320,7
12,400,3
12,420,7
12,490,3
12,500,3
12,520,7
12,600,3
12,700,3
12,800,3
12,999,9
35,000,6
35,100,3
35,800,3
35,999,9
21,000,6
21,100,3
21,110,3
21,120,7
21,800,3
21,999,9
50,000,6
50,100,3
50,800,3
50,999,9
16,000,6
16,100,3
16,120,7
16,180,3
16,190,3
16,200,3
16,220,7
16,290,3
16,300,3
16,320,7
16,400,3
16,420,7
16,490,3
16,500,3
16,520,7
16,600,3
16,700,3
16,800,3
16,999,9
41,000,6
41,100,3
41,120,7
41,800,3
41,999,9
77,000,6
77,100,3
77,800,3
77,999,9
63,000,6
63,100,3
63,120,3
63,200,3
63,"300,350",3
63,"400,440",3
63,420,3
63,"500,510",3
63,800,3
63,999,9
34,000,6
34,100,3
34,"110,200,210",7
34,250,3
34,800,3
34,999,9
33,000,6
33,"100,110,250",3
33,200,7
33,800,3
33,999,9
14,000,6
14,100,3
14,110,3
14,120,7
14,180,3
14,190,3
14,200,3
14,210,3
14,220,7
14,290,3
14,300,3
14,310,3
14,320,7
14,400,3
14,410,3
14,420,7
14,490,3
14,500,3
14,510,3
14,520,7
14,600,3
14,700,3
14,800,3
14,999,9
68,000,6
68,100,3
68,"200,250,260,270",3
68,"300,310,350,370,380",3
68,"400,450",7
68,"500,505",3
68,800,3
68,999,9
57,000,6
57,"100,150",3
57,800,3
57,999,9
67,988,9
49,000,6
49,"100,110",3
49,"200,210,250",3
49,"220,230",7
49,500,3
49,700,7
49,800,3
49,999,9
69,000,6
69,100,3
69,800,3
69,999,9
26,000,6
26,"050,100,110",3
26,200,3
26,300,3
26,"400,410,420,430",3
26,"450,460,470,480",3
26,800,3
26,999,9
74,000,6
74,"100,110",3
74,"200,210",3
74,300,3
74,"500,505",3
74,800,3
74,999,9
86,000,6
86,100,3
86,800,3
86,999,9
72,000,6
72,"100,150,180,250,450,490,550",3
72,"600,800",3
72,999,9
52,"000,010",6
52,"100,150,180,190,250,290,310,320",3
52,"160,200,270,300,305,440,460,470",7
52,"340,350,360,390,400,420,450,480,600",3
52,800,3
52,999,9
53,000,6
53,100,3
53,120,7
53,800,3
53,999,9
24,000,6
24,100,3
24,200,7
24,"300,400,450",3
24,800,3
24,999,9
11,000,6
11,100,3
11,110,3
11,120,7
11,180,3
11,190,3
11,200,3
11,210,3
11,220,7
11,290,3
11,300,3
11,310,3
11,320,7
11,400,3
11,410,3
11,420,7
11,490,3
11,500,3
11,510,3
11,520,7
11,600,3
11,700,3
11,800,3
11,999,9
56,000,6
56,100,3
56,120,3
56,150,3
56,800,3
56,999,9
23,000,6
23,"050,100,110",3
23,400,7
23,"420,450",7
23,500,3
23,"600,610",3
23,"650,660",3
23,"700,710,720,750",3
23,800,3
23,999,9
44,000,6
44,100,3
44,110,3
44,120,7
44,180,3
44,190,3
44,200,3
44,210,3
44,220,7
44,290,3
44,300,3
44,310,3
44,320,7
44,400,3
44,410,3
44,420,7
44,490,3
44,500,3
44,510,3
44,520,7
44,600,3
44,700,3
44,800,3
44,999,9
15,000,6
15,"100,110",3
15,120,7
15,180,3
15,190,3
15,"200,210",3
15,220,7
15,290,3
15,300,3
15,320,7
15,"400,410",3
15,420,7
15,490,3
15,500,3
15,520,7
15,600,3
15,700,3
15,800,3
15,999,9
43,000,6
43,100,3
43,110,3
43,120,7
43,180,3
43,190,3
43,200,3
43,210,3
43,220,7
43,290,3
43,300,3
43,310,3
43,320,7
43,400,3
43,410,3
43,420,7
43,490,3
43,500,3
43,510,3
43,520,7
43,600,3
43,700,3
43,800,3
43,999,9
70,000,6
70,100,3
70,200,3
70,"300,350",3
70,400,7
70,500,3
70,"510,520,530",3
70,800,3
70,999,9
89,000,6
89,100,3
89,110,3
89,120,3
89,125,3
89,"130,135",3
89,140,3
89,"150,155,158",7
89,"160,170",3
89,180,3
89,200,3
89,210,3
89,300,3
89,310,3
89,500,3
89,800,3
89,999,9
46,000,6
46,100,3
46,800,3
46,999,9
76,000,6
76,"100,110",3
76,"200,210",3
76,"300,400",3
76,"500,505",3
76,800,3
76,999,9
60,000,6
60,100,3
60,150,3
60,200,7
60,300,7
60,400,7
60,"425,430",3
60,450,3
60,475,3
60,"500,510,520,530,600",3
60,800,3
60,999,9
59,000,6
59,100,3
59,"110,120,130,150",3
59,"210,220,230,250,300,350,360",3
59,"400,450,500",3
59,600,3
59,800,3
59,999,9
