Year DX,Primary Site,Histology 3,EOD 10 Extension,EOD10 Ext Recode
1984-2003,569,"8000-9139,9141-9589",50,3
1984-2003,569,"8000-9139,9141-9589",60,3
1984-2003,569,"8000-9139,9141-9589",62,4
1984-2003,569,"8000-9139,9141-9589",65,3
1984-2003,569,"8000-9139,9141-9589",70,4
1984-2003,569,"8000-9139,9141-9589",71,4
1984-2003,569,"8000-9139,9141-9589",72,4
1984-2003,569,"8000-9139,9141-9589",73,4
1984-2003,569,"8000-9139,9141-9589",75,4
1984-2003,569,"8000-9139,9141-9589",80,4
1984-2003,569,"8000-9139,9141-9589",85,4
1984-2003,569,"8000-9139,9141-9589",99,5
1984-2003,570,"8000-9139,9141-9589",0,1
1984-2003,570,"8000-9139,9141-9589",10,2
1998-2003,570,"8000-9139,9141-9589",11,2
1998-2003,570,"8000-9139,9141-9589",12,2
1998-2003,570,"8000-9139,9141-9589",13,2
1984-2003,570,"8000-9139,9141-9589",30,2
1984-2003,570,"8000-9139,9141-9589",40,3
1984-2003,570,"8000-9139,9141-9589",50,3
1984-2003,570,"8000-9139,9141-9589",70,3
1998-2003,570,"8000-9139,9141-9589",71,4
1998-2003,570,"8000-9139,9141-9589",75,4
1998-2003,570,"8000-9139,9141-9589",76,4
1998-2003,570,"8000-9139,9141-9589",77,4
1998-2003,570,"8000-9139,9141-9589",78,4
1984-2003,570,"8000-9139,9141-9589",80,4
1984-2003,570,"8000-9139,9141-9589",85,4
1984-2003,570,"8000-9139,9141-9589",99,5
1984-2003,571-574,"8000-9139,9141-9589",0,1
1984-2003,571-574,"8000-9139,9141-9589",10,2
1984-2003,571-574,"8000-9139,9141-9589",30,2
1984-2003,571-574,"8000-9139,9141-9589",40,3
1984-2003,571-574,"8000-9139,9141-9589",50,3
1984-2003,571-574,"8000-9139,9141-9589",70,3
1984-2003,571-574,"8000-9139,9141-9589",80,4
1984-2003,571-574,"8000-9139,9141-9589",85,4
1984-2003,571-574,"8000-9139,9141-9589",99,5
1984-2003,577-579,"8000-9139,9141-9589",0,1
1984-2003,577-579,"8000-9139,9141-9589",10,2
1984-2003,577-579,"8000-9139,9141-9589",30,2
1984-2003,577-579,"8000-9139,9141-9589",40,3
1984-2003,577-579,"8000-9139,9141-9589",60,3
1984-2003,577-579,"8000-9139,9141-9589",80,4
1984-2003,577-579,"8000-9139,9141-9589",85,4
1984-2003,577-579,"8000-9139,9141-9589",99,5
1984-2003,589,"8000-9139,9141-9589",0,1
1984-2003,589,"8000-9139,9141-9589",10,2
1984-2003,589,"8000-9139,9141-9589",11,2
1984-2003,589,"8000-9139,9141-9589",12,2
1984-2003,589,"8000-9139,9141-9589",13,2
1984-2003,589,"8000-9139,9141-9589",14,2
1984-1997,589,"8000-9139,9141-9589",15,2
1984-1997,589,"8000-9139,9141-9589",20,2
1984-1997,589,"8000-9139,9141-9589",21,2
1984-1997,589,"8000-9139,9141-9589",22,2
1984-1997,589,"8000-9139,9141-9589",23,2
1984-1997,589,"8000-9139,9141-9589",24,2
1984-1997,589,"8000-9139,9141-9589",25,2
1984-2003,589,"8000-9139,9141-9589",30,2
1984-2003,589,"8000-9139,9141-9589",31,2
1984-2003,589,"8000-9139,9141-9589",32,2
1984-2003,589,"8000-9139,9141-9589",33,2
1984-2003,589,"8000-9139,9141-9589",34,2
1984-1997,589,"8000-9139,9141-9589",35,2
1984-2003,589,"8000-9139,9141-9589",40,3
1984-2003,589,"8000-9139,9141-9589",41,3
1998-2003,589,"8000-9139,9141-9589",42,3
1998-2003,589,"8000-9139,9141-9589",43,3
1998-2003,589,"8000-9139,9141-9589",44,3
1984-1997,589,"8000-9139,9141-9589",45,3
1984-1997,589,"8000-9139,9141-9589",50,3
1984-2003,589,"8000-9139,9141-9589",60,3
1984-2003,589,"8000-9139,9141-9589",61,3
1998-2003,589,"8000-9139,9141-9589",62,3
1998-2003,589,"8000-9139,9141-9589",63,3
1998-2003,589,"8000-9139,9141-9589",64,3
1984-2003,589,"8000-9139,9141-9589",70,4
1984-2003,589,"8000-9139,9141-9589",71,4
1984-2003,589,"8000-9139,9141-9589",72,4
1998-2003,589,"8000-9139,9141-9589",73,4
1984-2003,589,"8000-9139,9141-9589",74,4
1984-2003,589,"8000-9139,9141-9589",80,4
1984-2003,589,"8000-9139,9141-9589",85,4
1984-2003,589,"8000-9139,9141-9589",99,5
1984-2003,"600-601,608-609","8000-8719,8800-9139,9141-9589",0,1
1984-2003,"600-601,608-609","8000-8719,8800-9139,9141-9589",5,1
1984-2003,"600-601,608-609","8000-8719,8800-9139,9141-9589",10,2
1984-2003,"600-601,608-609","8000-8719,8800-9139,9141-9589",30,2
1984-2003,"600-601,608-609","8000-8719,8800-9139,9141-9589",40,3
1984-2003,"600-601,608-609","8000-8719,8800-9139,9141-9589",50,3
1984-2003,"600-601,608-609","8000-8719,8800-9139,9141-9589",60,3
1984-2003,"600-601,608-609","8000-8719,8800-9139,9141-9589",70,3
1984-2003,"600-601,608-609","8000-8719,8800-9139,9141-9589",80,4
1984-2003,"600-601,608-609","8000-8719,8800-9139,9141-9589",85,4
1984-2003,"600-601,608-609","8000-8719,8800-9139,9141-9589",99,5
1984-2003,602,"8000-9139,9141-9589",0,1
1984-2003,602,"8000-9139,9141-9589",5,1
1984-2003,602,"8000-9139,9141-9589",10,2
1984-2003,602,"8000-9139,9141-9589",30,2
1984-2003,602,"8000-9139,9141-9589",40,3
1984-2003,602,"8000-9139,9141-9589",50,3
1984-2003,602,"8000-9139,9141-9589",60,3
1984-2003,602,"8000-9139,9141-9589",70,3
1984-2003,602,"8000-9139,9141-9589",80,4
1984-2003,602,"8000-9139,9141-9589",85,4
1984-2003,602,"8000-9139,9141-9589",99,5
1984-2003,619,"8000-9139,9141-9589",0,1
1984-2003,619,"8000-9139,9141-9589",10,2
1984-1997,619,"8000-9139,9141-9589",11,2
1984-1997,619,"8000-9139,9141-9589",12,2
1994-2003,619,"8000-9139,9141-9589",13,2
1994-2003,619,"8000-9139,9141-9589",14,2
1994-2003,619,"8000-9139,9141-9589",15,2
1984-2003,619,"8000-9139,9141-9589",20,2
1994-1997,619,"8000-9139,9141-9589",21,2
1994-1997,619,"8000-9139,9141-9589",22,2
1994-2003,619,"8000-9139,9141-9589",23,2
1994-2003,619,"8000-9139,9141-9589",24,2
1984-1994,619,"8000-9139,9141-9589",25,2
1994,619,"8000-9139,9141-9589",26,2
1994,619,"8000-9139,9141-9589",27,2
1994,619,"8000-9139,9141-9589",28,2
1994,619,"8000-9139,9141-9589",29,2
1984-2003,619,"8000-9139,9141-9589",30,2
1994-2003,619,"8000-9139,9141-9589",31,3
1995-1997,619,"8000-9139,9141-9589",32,3
1995-2003,619,"8000-9139,9141-9589",33,2
1995-2003,619,"8000-9139,9141-9589",34,3
1984-1994,619,"8000-9139,9141-9589",40,3
1994,619,"8000-9139,9141-9589",41,3
1995-2003,619,"8000-9139,9141-9589",41,3
1995-2003,619,"8000-9139,9141-9589",42,3
1995-2003,619,"8000-9139,9141-9589",43,3
1995-1997,619,"8000-9139,9141-9589",44,3
1995-2003,619,"8000-9139,9141-9589",45,3
1994,619,"8000-9139,9141-9589",48,3
1994-2003,619,"8000-9139,9141-9589",49,3
1984-2003,619,"8000-9139,9141-9589",50,3
1994-1997,619,"8000-9139,9141-9589",51,3
1994-1997,619,"8000-9139,9141-9589",52,3
1994-1997,619,"8000-9139,9141-9589",53,3
1984-1994,619,"8000-9139,9141-9589",55,3
1984-1994,619,"8000-9139,9141-9589",56,3
1984-1994,619,"8000-9139,9141-9589",60,3
1995-2003,619,"8000-9139,9141-9589",60,4
1994-1997,619,"8000-9139,9141-9589",61,3
1994,619,"8000-9139,9141-9589",62,3
1994,619,"8000-9139,9141-9589",65,3
1984-2003,619,"8000-9139,9141-9589",70,4
1984-1994,619,"8000-9139,9141-9589",80,4
1984-2003,619,"8000-9139,9141-9589",85,4
1995-2003,619,"8000-9139,9141-9589",90,5
1984-1994,619,"8000-9139,9141-9589",99,5
1984-2003,"620-621,629","8000-9139,9141-9589",0,1
1984-2003,"620-621,629","8000-9139,9141-9589",10,2
1984-2003,"620-621,629","8000-9139,9141-9589",15,2
1984-2003,"620-621,629","8000-9139,9141-9589",20,2
1984-2003,"620-621,629","8000-9139,9141-9589",30,2
1984-2003,"620-621,629","8000-9139,9141-9589",40,3
1984-2003,"620-621,629","8000-9139,9141-9589",45,3
1984-2003,"620-621,629","8000-9139,9141-9589",50,3
1984-2003,"620-621,629","8000-9139,9141-9589",60,3
1984-2003,"620-621,629","8000-9139,9141-9589",70,3
1984-2003,"620-621,629","8000-9139,9141-9589",75,3
1984-2003,"620-621,629","8000-9139,9141-9589",80,4
1984-2003,"620-621,629","8000-9139,9141-9589",85,4
1984-2003,"620-621,629","8000-9139,9141-9589",99,5
1984-2003,"630-631,637-639","8000-9139,9141-9589",0,1
1984-2003,"630-631,637-639","8000-9139,9141-9589",10,2
1984-2003,"630-631,637-639","8000-9139,9141-9589",30,2
1984-2003,"630-631,637-639","8000-9139,9141-9589",40,3
1984-2003,"630-631,637-639","8000-9139,9141-9589",60,3
1984-2003,"630-631,637-639","8000-9139,9141-9589",80,4
1984-2003,"630-631,637-639","8000-9139,9141-9589",85,4
1984-2003,"630-631,637-639","8000-9139,9141-9589",99,5
1984-2003,632,"8000-8719,8800-9139,9141-9589",0,1
1984-2003,632,"8000-8719,8800-9139,9141-9589",10,2
1984-2003,632,"8000-8719,8800-9139,9141-9589",30,2
1984-2003,632,"8000-8719,8800-9139,9141-9589",40,3
1984-2003,632,"8000-8719,8800-9139,9141-9589",60,3
1984-2003,632,"8000-8719,8800-9139,9141-9589",80,4
1984-2003,632,"8000-8719,8800-9139,9141-9589",85,4
1984-2003,632,"8000-8719,8800-9139,9141-9589",99,5
1984-2003,649,"8000-9139,9141-9589",0,1
1984-2003,649,"8000-9139,9141-9589",10,2
1984-2003,649,"8000-9139,9141-9589",20,2
1984-2003,649,"8000-9139,9141-9589",30,2
1984-2003,649,"8000-9139,9141-9589",40,3
1984-2003,649,"8000-9139,9141-9589",60,3
1984-2003,649,"8000-9139,9141-9589",62,3
1984-2003,649,"8000-9139,9141-9589",65,3
1984-2003,649,"8000-9139,9141-9589",70,3
1984-2003,649,"8000-9139,9141-9589",75,4
1984-2003,649,"8000-9139,9141-9589",80,4
1984-2003,649,"8000-9139,9141-9589",85,4
1984-2003,649,"8000-9139,9141-9589",99,5
1984-2003,"659,669","8000-9139,9141-9589",0,1
1984-2003,"659,669","8000-9139,9141-9589",5,1
1984-2003,"659,669","8000-9139,9141-9589",10,2
1984-2003,"659,669","8000-9139,9141-9589",20,3
1984-2003,"659,669","8000-9139,9141-9589",30,2
1984-2003,"659,669","8000-9139,9141-9589",40,3
1984-2003,"659,669","8000-9139,9141-9589",60,3
1998-2003,"659,669","8000-9139,9141-9589",62,3
1998-2003,"659,669","8000-9139,9141-9589",63,3
1984-2003,"659,669","8000-9139,9141-9589",65,3
1984-2003,"659,669","8000-9139,9141-9589",66,4
1998-2003,"659,669","8000-9139,9141-9589",67,4
1998-2003,"659,669","8000-9139,9141-9589",68,4
1984-2003,"659,669","8000-9139,9141-9589",70,3
1984-2003,"659,669","8000-9139,9141-9589",80,4
1984-2003,"659,669","8000-9139,9141-9589",85,4
1984-2003,"659,669","8000-9139,9141-9589",99,5
1984-2003,670-679,"8000-9139,9141-9589",0,1
1998-2003,670-679,"8000-9139,9141-9589",1,1
1998-2003,670-679,"8000-9139,9141-9589",3,1
1984-2003,670-679,"8000-9139,9141-9589",5,1
1998-2003,670-679,"8000-9139,9141-9589",6,1
1984-2003,670-679,"8000-9139,9141-9589",10,2
1984-2003,670-679,"8000-9139,9141-9589",15,2
1984-2003,670-679,"8000-9139,9141-9589",20,3
1984-2003,670-679,"8000-9139,9141-9589",21,3
1984-2003,670-679,"8000-9139,9141-9589",22,3
1984-2003,670-679,"8000-9139,9141-9589",23,3
1984-2003,670-679,"8000-9139,9141-9589",30,2
1984-2003,670-679,"8000-9139,9141-9589",40,3
1984-2003,670-679,"8000-9139,9141-9589",41,3
1984-2003,670-679,"8000-9139,9141-9589",42,3
1984-1997,670-679,"8000-9139,9141-9589",50,3
1984-2003,670-679,"8000-9139,9141-9589",60,3
1984-2003,670-679,"8000-9139,9141-9589",65,3
1984-2003,670-679,"8000-9139,9141-9589",67,3
1984-2003,670-679,"8000-9139,9141-9589",70,3
1984-2003,670-679,"8000-9139,9141-9589",75,4
1984-2003,670-679,"8000-9139,9141-9589",80,4
1984-2003,670-679,"8000-9139,9141-9589",85,4
1984-2003,670-679,"8000-9139,9141-9589",99,5
1984-2003,680-681,"8000-9139,9141-9589",0,1
1984-2003,680-681,"8000-9139,9141-9589",5,1
1984-2003,680-681,"8000-9139,9141-9589",10,2
1984-2003,680-681,"8000-9139,9141-9589",20,2
1984-2003,680-681,"8000-9139,9141-9589",30,2
1984-2003,680-681,"8000-9139,9141-9589",40,3
1984-2003,680-681,"8000-9139,9141-9589",60,3
1984-2003,680-681,"8000-9139,9141-9589",70,3
1984-2003,680-681,"8000-9139,9141-9589",80,4
1984-2003,680-681,"8000-9139,9141-9589",85,4
1984-2003,680-681,"8000-9139,9141-9589",99,5
1984-2003,688-689,"8000-9139,9141-9589",0,1
1984-2003,688-689,"8000-9139,9141-9589",5,1
1984-2003,688-689,"8000-9139,9141-9589",10,2
1984-2003,688-689,"8000-9139,9141-9589",20,2
1984-2003,688-689,"8000-9139,9141-9589",30,2
1984-2003,688-689,"8000-9139,9141-9589",40,3
1984-2003,688-689,"8000-9139,9141-9589",60,3
1984-1997,688-689,"8000-9139,9141-9589",65,3
1984-1997,688-689,"8000-9139,9141-9589",66,4
1984-2003,688-689,"8000-9139,9141-9589",70,3
1984-2003,688-689,"8000-9139,9141-9589",80,4
1984-2003,688-689,"8000-9139,9141-9589",85,4
1984-2003,688-689,"8000-9139,9141-9589",99,5
1984-2003,690,"8000-8719,8800-9139,9141-9589",0,1
1984-2003,690,"8000-8719,8800-9139,9141-9589",10,2
1984-2003,690,"8000-8719,8800-9139,9141-9589",40,2
1984-2003,690,"8000-8719,8800-9139,9141-9589",50,3
1984-2003,690,"8000-8719,8800-9139,9141-9589",70,3
1984-2003,690,"8000-8719,8800-9139,9141-9589",80,4
1984-2003,690,"8000-8719,8800-9139,9141-9589",85,4
1984-2003,690,"8000-8719,8800-9139,9141-9589",99,5
1984-2003,690,8720-8790,0,1
1984-2003,690,8720-8790,10,2
1984-2003,690,8720-8790,12,2
1984-2003,690,8720-8790,15,2
1984-2003,690,8720-8790,20,2
1984-2003,690,8720-8790,30,2
1984-2003,690,8720-8790,70,3
1984-2003,690,8720-8790,80,4
1984-2003,690,8720-8790,85,4
1984-2003,690,8720-8790,99,5
1984-2003,"691,693-694,698","8000-8719,8800-9139,9141-9589",0,1
1984-2003,"691,693-694,698","8000-8719,8800-9139,9141-9589",10,2
1984-2003,"691,693-694,698","8000-8719,8800-9139,9141-9589",40,2
1984-2003,"691,693-694,698","8000-8719,8800-9139,9141-9589",70,3
1984-2003,"691,693-694,698","8000-8719,8800-9139,9141-9589",80,4
1984-2003,"691,693-694,698","8000-8719,8800-9139,9141-9589",85,4
1984-2003,"691,693-694,698","8000-8719,8800-9139,9141-9589",99,5
1984-2003,"692,699","8000-8719,8800-9139,9141-9509,9515-9589",0,1
1984-2003,"692,699","8000-8719,8800-9139,9141-9509,9515-9589",10,2
1984-2003,"692,699","8000-8719,8800-9139,9141-9509,9515-9589",40,2
1984-2003,"692,699","8000-8719,8800-9139,9141-9509,9515-9589",70,3
1984-2003,"692,699","8000-8719,8800-9139,9141-9509,9515-9589",80,4
1984-2003,"692,699","8000-8719,8800-9139,9141-9509,9515-9589",85,4
1984-2003,"692,699","8000-8719,8800-9139,9141-9509,9515-9589",99,5
1984-2003,"691-694,698-699",8720-8790,0,1
1984-2003,"691-694,698-699",8720-8790,10,2
1984-2003,"691-694,698-699",8720-8790,12,2
1984-2003,"691-694,698-699",8720-8790,15,2
1984-2003,"691-694,698-699",8720-8790,17,2
1984-2003,"691-694,698-699",8720-8790,20,2
1984-2003,"691-694,698-699",8720-8790,25,2
1984-2003,"691-694,698-699",8720-8790,30,2
1984-2003,"691-694,698-699",8720-8790,40,2
1984-2003,"691-694,698-699",8720-8790,43,2
1984-2003,"691-694,698-699",8720-8790,44,2
1984-2003,"691-694,698-699",8720-8790,45,2
1984-2003,"691-694,698-699",8720-8790,50,2
1984-2003,"691-694,698-699",8720-8790,55,2
1984-2003,"691-694,698-699",8720-8790,56,2
1984-2003,"691-694,698-699",8720-8790,70,3
1984-2003,"691-694,698-699",8720-8790,80,4
1984-2003,"691-694,698-699",8720-8790,85,4
1984-2003,"691-694,698-699",8720-8790,99,5
1984-2003,"692,699",9510-9514,10,2
1984-2003,"692,699",9510-9514,12,2
1984-2003,"692,699",9510-9514,15,2
1984-2003,"692,699",9510-9514,30,2
1984-2003,"692,699",9510-9514,40,2
1984-2003,"692,699",9510-9514,45,2
1984-2003,"692,699",9510-9514,48,2
1984-2003,"692,699",9510-9514,50,2
1984-2003,"692,699",9510-9514,55,2
1984-2003,"692,699",9510-9514,60,2
1984-2003,"692,699",9510-9514,70,3
1984-2003,"692,699",9510-9514,72,3
1984-2003,"692,699",9510-9514,75,3
1984-2003,"692,699",9510-9514,80,4
1984-2003,"692,699",9510-9514,85,4
1984-2003,"692,699",9510-9514,99,5
1984-2003,695,"8000-9139,9141-9589",0,1
1984-2003,695,"8000-9139,9141-9589",10,2
1984-2003,695,"8000-9139,9141-9589",40,3
1984-2003,695,"8000-9139,9141-9589",60,3
1984-2003,695,"8000-9139,9141-9589",70,3
1984-2003,695,"8000-9139,9141-9589",80,4
1984-2003,695,"8000-9139,9141-9589",85,4
1984-2003,695,"8000-9139,9141-9589",99,5
1984-2003,696,"8000-9139,9141-9589",0,1
1984-2003,696,"8000-9139,9141-9589",10,2
1984-2003,696,"8000-9139,9141-9589",40,3
1984-2003,696,"8000-9139,9141-9589",60,3
1984-2003,696,"8000-9139,9141-9589",80,4
1984-2003,696,"8000-9139,9141-9589",85,4
1984-2003,696,"8000-9139,9141-9589",99,5
1984-2003,"700,710-719","8000-9139,9141-9589",0,1
1984-2003,"700,710-719","8000-9139,9141-9589",10,2
1984-2003,"700,710-719","8000-9139,9141-9589",11,2
1984-2003,"700,710-719","8000-9139,9141-9589",12,2
1984-2003,"700,710-719","8000-9139,9141-9589",15,2
1984-2003,"700,710-719","8000-9139,9141-9589",20,2
1984-2003,"700,710-719","8000-9139,9141-9589",30,2
1984-2003,"700,710-719","8000-9139,9141-9589",40,3
1984-2003,"700,710-719","8000-9139,9141-9589",50,3
1984-2003,"700,710-719","8000-9139,9141-9589",51,3
1984-2003,"700,710-719","8000-9139,9141-9589",60,3
1984-2003,"700,710-719","8000-9139,9141-9589",70,4
1984-2003,"700,710-719","8000-9139,9141-9589",80,4
1984-2003,"700,710-719","8000-9139,9141-9589",85,4
1984-2003,"700,710-719","8000-9139,9141-9589",99,5
1984-2003,709,"8000-9139,9141-9589",10,2
1984-2003,709,"8000-9139,9141-9589",30,2
1984-2003,709,"8000-9139,9141-9589",40,3
1984-2003,709,"8000-9139,9141-9589",50,3
1984-2003,709,"8000-9139,9141-9589",60,3
1984-2003,709,"8000-9139,9141-9589",70,4
1984-2003,709,"8000-9139,9141-9589",80,4
1984-2003,709,"8000-9139,9141-9589",85,4
1984-2003,709,"8000-9139,9141-9589",99,5
1984-2003,"701,720-725,728-729","8000-9139,9141-9589",10,2
1984-2003,"701,720-725,728-729","8000-9139,9141-9589",30,2
1984-2003,"701,720-725,728-729","8000-9139,9141-9589",40,3
1984-2003,"701,720-725,728-729","8000-9139,9141-9589",50,3
1984-2003,"701,720-725,728-729","8000-9139,9141-9589",60,3
1984-2003,"701,720-725,728-729","8000-9139,9141-9589",70,4
1984-2003,"701,720-725,728-729","8000-9139,9141-9589",80,4
1984-2003,"701,720-725,728-729","8000-9139,9141-9589",85,4
1984-2003,"701,720-725,728-729","8000-9139,9141-9589",99,5
1984-2003,739,"8000-9139,9141-9589",0,1
1984-2003,739,"8000-9139,9141-9589",10,2
1984-2003,739,"8000-9139,9141-9589",20,2
1984-2003,739,"8000-9139,9141-9589",30,2
1984-2003,739,"8000-9139,9141-9589",40,3
1984-2003,739,"8000-9139,9141-9589",50,3
1984-2003,739,"8000-9139,9141-9589",60,3
1984-2003,739,"8000-9139,9141-9589",70,3
1984-2003,739,"8000-9139,9141-9589",80,4
1984-2003,739,"8000-9139,9141-9589",85,4
1984-2003,739,"8000-9139,9141-9589",99,5
1984-2003,"809,760-765,767-768,770-775,778-779,420-424","8000-9139,9141-9589,9700-9701",99,5
