Primary Site,Histology 3,Is Leuk
0-809,"9731-9734,9740-9742,9750-9758,9760-9762,9764-9769,9800-9801,9805,9820,9826,9831-9837,9840,9860-9861,9863,9866-9867,9870-9876,9891,9895-9897,9910,9920,9930-9931,9940,9945-9946,9948,9950,9960-9964,9970,9975,9980,9982-9987,9989",1
"420-421,424","9823,9827",1
