Schema,Extension,Ext Recode
64,"720,722,723,725,732,733",7
64,"728,740",2
64,"730,735",7
64,750,7
64,760,7
64,770,7
64,780,7
64,790,7
64,"795,800,810,820",7
64,950,9
64,999,9
29,000,0
29,"100,110",1
29,"200,210",1
29,"300,350",1
29,"400,410",1
29,500,1
29,550,2
29,600,2
29,"610,615",2
29,618,2
29,"620,621",2
29,650,2
29,"630,655,657,660",7
29,"670,673",2
29,680,7
29,"685,710",2
29,"720,725",2
29,730,2
29,750,7
29,780,7
29,"800,805,808",7
29,810,2
29,950,9
29,999,9
42,000,0
42,"100,130",1
42,"110,115",1
42,120,1
42,300,2
42,"350,375",2
42,400,2
42,450,1
42,"510,530",2
42,"520,610",7
42,600,2
42,680,7
42,700,2
42,710,7
42,"730,775",7
42,"800,810",7
42,815,2
42,950,9
42,999,9
07,000,0
07,"100,105",1
07,300,1
07,"405,410,415",1
07,"400,500,510",2
07,550,2
07,600,2
07,650,2
07,"535,700",2
07,"720,725",2
07,760,2
07,"770,775,780,785,790,795,805",2
07,788,7
07,800,7
07,"805,810,815",2
07,950,9
07,999,9
06,000,0
06,"100,105",1
06,300,1
06,"405,410,415,470",1
06,"500,510,530",2
06,550,2
06,"600,650",2
06,"535,700",2
06,"710,720,725",2
06,740,2
06,"760,770,775,780,785",2
06,"790,810,815",2
06,"788,795,800,805",7
06,950,9
06,999,9
10,000,0
10,"100,105",1
10,300,1
10,"400,405,410,415",2
10,"500,510,520,535",2
10,"700,725",2
10,"730,740,745,750,765,775",2
10,"760,788,790",7
10,"800,810",7
10,815,2
10,950,9
10,999,9
48,100,1
48,"300,350,375",1
48,400,2
48,600,2
48,800,7
48,950,9
48,999,9
93,"100,105,110,120,150",7
93,"200,210",7
93,"300,305,310,320,350",7
93,400,7
93,500,7
93,"720,730,800,810,820",7
93,"989,999",7
20,000,0
20,100,1
20,200,2
20,"300,305",1
20,"310,400",2
20,420,2
20,450,2
20,455,1
20,500,2
20,510,2
20,550,2
20,565,2
20,600,2
20,"560,610",7
20,620,7
20,"630,638",2
20,640,2
20,650,2
20,"635,645,655,660",7
20,700,7
20,760,7
20,"800,810",7
20,815,2
20,950,9
20,999,9
91,110,9
91,120,9
91,130,9
91,210,9
91,220,9
91,230,9
91,240,9
91,250,9
91,260,9
91,270,9
91,290,9
91,950,9
91,999,9
73,000,0
73,100,1
73,200,1
73,300,1
73,"310,320,330,340,350,360",1
73,"390,625",2
73,400,2
73,"450,460",2
73,600,2
73,601,2
73,605,2
73,610,2
73,620,2
73,630,2
73,"640,645",2
73,650,2
73,"660,665",2
73,670,2
73,700,2
73,750,7
73,"800,801",7
73,810,2
73,950,9
73,999,9
84,000,0
84,100,1
84,300,1
84,"400,405",2
84,600,2
84,"610,620,630",1
84,"650,700,815",2
84,750,7
84,"800,810",7
84,950,9
84,999,9
02,000,0
02,"100,105",1
02,200,2
02,300,1
02,"405,410,415,470",1
02,"400,500",2
02,"510,515,530,535",2
02,520,1
02,"700,725",2
02,740,7
02,750,7
02,760,7
02,"770,775,785,788",7
02,"778,815",2
02,800,7
02,950,9
02,999,9
01,000,0
01,"100,105",1
01,200,2
01,"300,405,415",1
01,"400,410,500",2
01,"510,515,535",2
01,"700,778",2
01,740,7
01,750,7
01,760,7
01,"770,788,790",7
01,800,7
01,815,2
01,950,9
01,999,9
28,000,0
28,100,1
28,"200,350",1
28,"300,390",1
28,400,1
28,"170,270,460,475,480,500,855",1
28,"120,140,150,160,240,510",2
28,"370,450,455,520",2
28,530,2
28,"220,250,260,540",2
28,"380,550",2
