Histology,Primary Site,EOD 4dig Ext,EOD 4dig Nodes,Stage
"8000-9134,9141-9589",700-729,9,9,9
"8000-9134,9141-9589",710-719,0,9,0
"8000-9134,9141-9589",710-719,1-3,9,1
"8000-9134,9141-9589",710-719,4-6,9,2
"8000-9134,9141-9589",710-719,7-8,9,4
"8000-9134,9141-9589",720-729,"4-5,7",9,2
"8000-9134,9141-9589",739,0,0-9,0
"8000-9134,9141-9589",739,1-3,"0,9",1
"8000-9134,9141-9589",739,4-7,"0,9",2
"8000-9134,9141-9589",739,"1-3,9","1,6,8",2
"8000-9134,9141-9589",739,4-7,"1,6,8",2
"8000-9134,9141-9589",739,"1-7,9",7,4
"8000-9134,9141-9589",739,8,"0-1,6-9",4
"8000-9134,9141-9589",739,9,"0,9",9
"8000-9134,9141-9589","760-769,770-779,809",0-9,0-9,9
