ICD-10-CM-CODE,ICD-O-3-PRIMARY-SITE,HISTOLOGY,BEHAVIOR,GRADE,LATERALITY,REPORTABILITY,GENDER
C00,C009,8000,3,9,0,Y,
C000,C000,8000,3,9,0,Y,
C001,C001,8000,3,9,0,Y,
C002,C002,8000,3,9,0,Y,
C003,C003,8000,3,9,0,Y,
C004,C004,8000,3,9,0,Y,
C005,C005,8000,3,9,0,Y,
C006,C006,8000,3,9,0,Y,
C008,C008,8000,3,9,0,Y,
C009,C009,8000,3,9,0,Y,
C01,C019,8000,3,9,0,Y,
C02,C029,8000,3,9,0,Y,
C020,C020,8000,3,9,0,Y,
C021,C021,8000,3,9,0,Y,
C022,C022,8000,3,9,0,Y,
C023,C023,8000,3,9,0,Y,
C024,C024,8000,3,9,0,Y,
C028,C028,8000,3,9,0,Y,
C029,C029,8000,3,9,0,Y,
C03,C039,8000,3,9,0,Y,
C030,C030,8000,3,9,0,Y,
C031,C031,8000,3,9,0,Y,
C039,C039,8000,3,9,0,Y,
C04,C049,8000,3,9,0,Y,
C040,C040,8000,3,9,0,Y,
C041,C041,8000,3,9,0,Y,
C048,C048,8000,3,9,0,Y,
C049,C049,8000,3,9,0,Y,
C05,C059,8000,3,9,0,Y,
C050,C050,8000,3,9,0,Y,
C051,C051,8000,3,9,0,Y,
C052,C052,8000,3,9,0,Y,
C058,C058,8000,3,9,0,Y,
C059,C059,8000,3,9,0,Y,
C06,C069,8000,3,9,0,Y,
C060,C060,8000,3,9,0,Y,
C061,C061,8000,3,9,0,Y,
C062,C062,8000,3,9,0,Y,
C068,C069,8000,3,9,0,Y,
C0680,C068,8000,3,9,0,Y,
C0689,C068,8000,3,9,0,Y,
C069,C069,8000,3,9,0,Y,
C07,C079,8000,3,9,9,Y,
C08,C089,8000,3,9,0,Y,
C080,C080,8000,3,9,9,Y,
C081,C081,8000,3,9,9,Y,
C089,C089,8000,3,9,0,Y,
C09,C099,8000,3,9,9,Y,
C090,C090,8000,3,9,9,Y,
C091,C091,8000,3,9,9,Y,
C098,C098,8000,3,9,9,Y,
C099,C099,8000,3,9,9,Y,
C10,C109,8000,3,9,0,Y,
C100,C100,8000,3,9,0,Y,
C101,C101,8000,3,9,0,Y,
C102,C102,8000,3,9,0,Y,
C103,C103,8000,3,9,0,Y,
C104,C104,8000,3,9,0,Y,
C108,C108,8000,3,9,0,Y,
C109,C109,8000,3,9,0,Y,
C11,C119,8000,3,9,0,Y,
C110,C110,8000,3,9,0,Y,
C111,C111,8000,3,9,0,Y,
C112,C112,8000,3,9,0,Y,
C113,C113,8000,3,9,0,Y,
C118,C118,8000,3,9,0,Y,
C119,C119,8000,3,9,0,Y,
C12,C129,8000,3,9,0,Y,
C13,C139,8000,3,9,0,Y,
C130,C130,8000,3,9,0,Y,
C131,C131,8000,3,9,0,Y,
C132,C132,8000,3,9,0,Y,
C138,C138,8000,3,9,0,Y,
C139,C139,8000,3,9,0,Y,
C14,C148,8000,3,9,0,Y,
C140,C140,8000,3,9,0,Y,
C142,C142,8000,3,9,0,Y,
C148,C148,8000,3,9,0,Y,
C15,C159,8000,3,9,0,Y,
C153,C153,8000,3,9,0,Y,
C154,C154,8000,3,9,0,Y,
C155,C155,8000,3,9,0,Y,
C158,C158,8000,3,9,0,Y,
C159,C159,8000,3,9,0,Y,
C16,C169,8000,3,9,0,Y,
C160,C160,8000,3,9,0,Y,
C161,C161,8000,3,9,0,Y,
C162,C162,8000,3,9,0,Y,
C163,C163,8000,3,9,0,Y,
C164,C164,8000,3,9,0,Y,
C165,C165,8000,3,9,0,Y,
C166,C166,8000,3,9,0,Y,
C168,C168,8000,3,9,0,Y,
C169,C169,8000,3,9,0,Y,
C17,C179,8000,3,9,0,Y,
C170,C170,8000,3,9,0,Y,
C171,C171,8000,3,9,0,Y,
C172,C172,8000,3,9,0,Y,
C173,C173,8000,3,9,0,Y,
C178,C178,8000,3,9,0,Y,
C179,C179,8000,3,9,0,Y,
C18,C189,8000,3,9,0,Y,
C180,C180,8000,3,9,0,Y,
C181,C181,8000,3,9,0,Y,
C182,C182,8000,3,9,0,Y,
