ICD-9-CM-CODE,ICD-O-3-PRIMARY-SITE,HISTOLOGY,BEHAVIOR,GRADE,LATERALITY,REPORTABILITY,GENDER
1608,C318,8000,3,9,0,Y,
1609,C319,8000,3,9,0,Y,
161,C329,8000,3,9,0,Y,
1610,C320,8000,3,9,0,Y,
1611,C321,8000,3,9,0,Y,
1612,C322,8000,3,9,0,Y,
1613,C323,8000,3,9,0,Y,
1618,C328,8000,3,9,0,Y,
1619,C329,8000,3,9,0,Y,
1620,C339,8000,3,9,0,Y,
1622,C340,8000,3,9,9,Y,
1623,C341,8000,3,9,0,Y,
1624,C342,8000,3,9,9,Y,
1625,C343,8000,3,9,0,Y,
1628,C348,8000,3,9,0,Y,
1629,C349,8000,3,9,0,Y,
163,C384,9050,3,9,0,Y,
1630,C384,8000,3,9,0,Y,
1631,C384,8000,3,9,0,Y,
1638,C384,8000,3,9,0,Y,
1639,C384,8000,3,9,0,Y,
1640,C379,8000,3,9,0,Y,
1641,C380,8000,3,9,0,Y,
1642,C381,8000,3,9,0,Y,
1643,C382,8000,3,9,0,Y,
1648,C388,8000,3,9,0,Y,
1649,C383,8000,3,9,0,Y,
165,C399,8000,3,9,0,Y,
1650,C390,8000,3,9,0,Y,
1658,C398,8000,3,9,0,Y,
1659,C399,8000,3,9,0,Y,
170,C419,8000,3,9,0,Y,
1700,C410,8000,3,9,0,Y,
1701,C411,8000,3,9,0,Y,
1702,C412,8000,3,9,0,Y,
1703,C413,8000,3,9,0,Y,
1704,C400,8000,3,9,0,Y,
1705,C401,8000,3,9,0,Y,
1706,C414,8000,3,9,0,Y,
1707,C402,8000,3,9,0,Y,
1708,C403,8000,3,9,0,Y,
1709,C418,8000,3,9,0,Y,
1710,C490,8000,3,9,0,Y,
1712,C491,8000,3,9,0,Y,
1713,C492,8000,3,9,0,Y,
1714,C493,8000,3,9,0,Y,
1715,C494,8000,3,9,0,Y,
1716,C495,8000,3,9,0,Y,
1717,C496,8000,3,9,0,Y,
1718,C498,8000,3,9,0,Y,
1719,C499,8000,3,9,0,Y,
1720,C440,8720,3,9,0,Y,
1721,C441,8720,3,9,0,Y,
1722,C442,8720,3,9,0,Y,
1723,C443,8720,3,9,0,Y,
1724,C444,8720,3,9,0,Y,
1725,C445,8720,3,9,0,Y,
1726,C446,8720,3,9,0,Y,
1727,C447,8720,3,9,0,Y,
1728,C448,8720,3,9,0,Y,
