ICD-10-CODE,ICD-O-3-PRIMARY-SITE,HISTOLOGY,BEHAVIOR,GRADE,LATERALITY,REPORTABILITY,GENDER
D303,C679,8000,0,9,,,
D304,C680,8000,0,9,,,
D305,C809,8000,0,9,,,
D306,C809,8000,0,9,,,
D307,C689,8000,0,9,,,
D308,C809,8000,0,9,,,
D309,C689,8000,0,9,,,
D310,C690,8000,0,9,,,
D311,C691,8000,0,9,,,
D312,C692,8000,0,9,,,
D313,C963,8000,0,9,,,
D314,C964,8000,0,9,,,
D315,C695,8000,0,9,,,
D316,C696,8000,0,9,,,
D317,C809,8000,0,9,,,
D318,C809,8000,0,9,,,
D319,C699,8000,0,9,,,
D320,C700,8000,0,9,,,
D321,C701,8000,0,9,,,
D322,C809,8000,0,9,,,
D323,C809,8000,0,9,,,
D324,C809,8000,0,9,,,
D325,C809,8000,0,9,,,
D326,C809,8000,0,9,,,
D327,C809,8000,0,9,,,
D328,C809,8000,0,9,,,
D329,C709,8000,0,9,,,
D330,C710,8000,0,9,,,
D331,C717,8000,0,9,,,
D332,C719,8000,0,9,,,
D333,C725,8000,0,9,,,
D334,C720,8000,0,9,,,
D335,C809,8000,0,9,,,
D336,C809,8000,0,9,,,
D337,C729,8000,0,9,,,
D338,C809,8000,0,9,,,
D339,C729,8000,0,9,,,
D340,C739,8000,0,9,,,
D341,C739,8000,0,9,,,
D342,C739,8000,0,9,,,
D343,C739,8000,0,9,,,
D344,C739,8000,0,9,,,
D345,C739,8000,0,9,,,
D346,C739,8000,0,9,,,
D347,C739,8000,0,9,,,
D348,C739,8000,0,9,,,
D349,C739,8000,0,9,,,
D350,C749,8000,0,9,,,
D351,C750,8000,0,9,,,
D352,C751,8000,0,9,,,
D353,C752,8000,0,9,,,
D354,C753,8000,0,9,,,
D355,C754,8000,0,9,,,
D356,C755,8000,0,9,,,
D357,C759,8000,0,9,,,
D358,C758,8000,0,9,,,
D359,C759,8000,0,9,,,
D360,C779,8000,0,9,,,
D361,C479,8000,0,9,,,
D362,C809,8000,0,9,,,
D363,C809,8000,0,9,,,
D364,C809,8000,0,9,,,
D365,C809,8000,0,9,,,
D366,C809,8000,0,9,,,
D367,C809,8000,0,9,,,
D368,C809,8000,0,9,,,
D369,C809,8000,0,9,,,
D370,C148,8000,1,9,,,
D371,C169,8000,1,9,,,
D372,C179,8000,1,9,,,
D373,C181,8000,1,9,,,
D374,C189,8000,1,9,,,
D375,C209,8000,1,9,,,
D376,C269,8000,1,9,,,
D377,C269,8000,1,9,,,
D379,C269,8000,1,9,,,
D380,C329,8000,1,9,,,
D381,C349,8000,1,9,,,
D382,C384,8000,1,9,,,
D383,C383,8000,1,9,,,
D384,C379,8000,1,9,,,
D385,C399,8000,1,9,,,
D386,C399,8000,1,9,,,
D387,C809,8000,1,9,,,
D388,C809,8000,1,9,,,
D389,C809,8000,1,9,,,
D390,C559,8000,1,9,,,
D391,C569,8000,1,9,,,
D392,C589,8000,1,9,,,
D393,C809,8000,1,9,,,
D394,C809,8000,1,9,,,
D395,C809,8000,1,9,,,
D396,C809,8000,1,9,,,
D397,C579,8000,1,9,,,
D398,C809,8000,1,9,,,
D399,C579,8000,1,9,,,
D400,C619,8000,1,9,,,
D401,C629,8000,1,9,,,
D402,C809,8000,1,9,,,
D403,C809,8000,1,9,,,
D404,C809,8000,1,9,,,
D405,C809,8000,1,9,,,
D406,C809,8000,1,9,,,
D407,C639,8000,1,9,,,
D408,C809,8000,1,9,,,
D409,C639,8000,1,9,,,
D410,C649,8000,1,9,,,
D411,C659,8000,1,9,,,
D412,C669,8000,1,9,,,
D413,C680,8000,1,9,,,
D414,C679,8000,1,9,,,
D415,C809,8000,1,9,,,
D416,C809,8000,1,9,,,
D417,C689,8000,1,9,,,
D418,C809,8000,1,9,,,
D419,C689,8000,1,9,,,
D420,C700,8000,1,9,,,
D421,C701,8000,1,9,,,
D422,C809,8000,1,9,,,
D423,C809,8000,1,9,,,
D424,C809,8000,1,9,,,
D425,C809,8000,1,9,,,
D426,C809,8000,1,9,,,
D427,C809,8000,1,9,,,
D428,C809,8000,1,9,,,
D429,C709,8000,1,9,,,
D430,C710,8000,1,9,,,
D431,C717,8000,1,9,,,
D432,C719,8000,1,9,,,
D433,C725,8000,1,9,,,
D434,C720,8000,1,9,,,
D435,C809,8000,1,9,,,
D436,C809,8000,1,9,,,
D437,C729,8000,1,9,,,
D438,C809,8000,1,9,,,
D439,C729,8000,1,9,,,
D440,C739,8000,1,9,,,
D441,C749,8000,1,9,,,
D442,C750,8000,1,9,,,
D443,C751,8000,1,9,,,
D444,C752,8000,1,9,,,
D445,C753,8000,1,9,,,
D446,C754,8000,1,9,,,
D447,C755,8000,1,9,,,
D448,C758,8000,1,9,,,
D449,C759,8000,1,9,,,
D450,C421,9950,3,9,,,
D451,C421,9950,3,9,,,
D452,C421,9950,3,9,,,
D453,C421,9950,3,9,,,
D454,C421,9950,3,9,,,
D455,C421,9950,3,9,,,
D456,C421,9950,3,9,,,
D457,C421,9950,3,9,,,
D458,C421,9950,3,9,,,
D459,C421,9950,3,9,,,
D460,C421,9980,3,9,,,
D461,C421,9982,3,9,,,
D462,C421,9983,3,9,,,
D463,C421,9983,3,9,,,
D464,C421,9980,3,9,,,
D465,C421,9989,1,9,,,
D466,C421,9989,1,9,,,
D467,C421,9989,3,9,,,
D468,C421,9989,1,9,,,
D469,C421,9989,3,9,,,
D470,C421,9740,0,9,,,
D471,C421,9975,3,9,,,
D472,C421,9765,1,9,,,
D473,C421,9962,3,9,,,
D477,C809,8000,0,9,,,
D479,C809,8000,0,9,,,
D480,C419,8000,0,9,,,
D481,C499,8000,0,9,,,
D482,C479,8000,0,9,,,
D483,C480,8000,0,9,,,
D484,C482,8000,0,9,,,
D485,C449,8000,0,9,,,
D486,C509,8000,0,9,,,
D487,C809,8000,0,9,,,
D488,C809,8000,0,9,,,
D489,C809,8000,0,9,,,
