"AK","020","1"
"AZ","005","1"
"AZ","013","1"
"AZ","019","1"
"CA","001","1"
"CA","013","1"
"CA","015","1"
"CA","019","1"
"CA","023","1"
"CA","029","1"
"CA","037","1"
"CA","039","1"
"CA","041","1"
"CA","059","1"
"CA","065","1"
"CA","067","1"
"CA","073","1"
"CA","075","1"
"CA","077","1"
"CA","079","1"
"CA","081","1"
"CA","083","1"
"CA","085","1"
"CA","093","1"
"CA","105","1"
"CA","107","1"
"CA","111","1"
"CO","001","1"
"CO","005","1"
"CO","013","1"
"CO","014","1"
"CO","031","1"
"CO","035","1"
"CO","047","1"
"CO","059","1"
"IL","031","1"
"IN","097","1"
"IA","193","1"
"KS","015","1"
"KS","155","1"
"KS","173","1"
"KS","191","1"
"MD","003","1"
"MD","005","1"
"MD","013","1"
"MD","027","1"
"MD","033","1"
"MD","510","1"
"MA","009","1"
"MA","017","1"
"MA","021","1"
"MA","023","1"
"MA","025","1"
"MI","093","1"
"MI","099","1"
"MI","115","1"
"MI","125","1"
"MI","147","1"
"MI","161","1"
"MI","163","1"
"MN","017","1"
"MN","053","1"
"MN","123","1"
"MO","037","1"
"MO","047","1"
"MO","095","1"
"MO","165","1"
"MO","189","1"
"MO","510","1"
"MT","003","1"
"MT","007","1"
"MT","013","1"
"MT","043","1"
"MT","049","1"
"MT","063","1"
"MT","093","1"
"MT","111","1"
"NE","055","1"
"NE","109","1"
"NE","153","1"
"NE","177","1"
"NV","001","1"
"NV","005","1"
"NV","029","1"
"NV","031","1"
"NV","510","1"
"NM","001","1"
"NM","043","1"
"NY","005","1"
"NY","029","1"
"NY","047","1"
"NY","061","1"
"NY","063","1"
"NY","081","1"
"NY","085","1"
"ND","015","1"
"ND","059","1"
"OH","035","1"
"OH","153","1"
"OK","017","1"
"OK","027","1"
"OK","109","1"
"OK","125","1"
"OK","143","1"
"OR","005","1"
"OR","051","1"
"OR","067","1"
"SD","013","1"
"SD","065","1"
"SD","099","1"
"SD","117","1"
"TX","029","1"
"TX","085","1"
"TX","113","1"
"TX","121","1"
"TX","139","1"
"TX","221","1"
"TX","251","1"
"TX","257","1"
"TX","367","1"
"TX","397","1"
"TX","439","1"
"TX","497","1"
"UT","011","1"
"UT","035","1"
"UT","045","1"
"UT","049","1"
"UT","057","1"
"WA","011","1"
"WA","033","1"
"WA","063","1"
"WI","079","1"
"WI","133","1"
