"MN","089","1","0","00"
"MN","095","1","0","00"
"MN","107","1","0","00"
"MN","113","1","0","00"
"MN","115","1","0","00"
"MN","119","1","0","00"
"MN","123","0","1","18"
"MN","127","1","0","00"
"MN","129","1","0","00"
"MN","135","1","0","00"
"MN","137","1","0","00"
"MN","139","1","0","00"
"MN","155","1","0","00"
"MN","173","1","0","00"
"MS","007","1","0","00"
"MS","061","1","0","00"
"MS","067","1","0","00"
"MS","069","1","0","00"
"MS","079","1","0","00"
"MS","099","1","0","00"
"MS","101","1","0","00"
"MS","103","1","0","00"
"MS","123","1","0","00"
"MS","159","1","0","00"
"MT","003","1","1","19"
"MT","005","1","0","00"
"MT","007","0","1","22"
"MT","009","1","0","00"
"MT","011","1","0","00"
"MT","013","0","1","21"
"MT","015","1","0","00"
"MT","019","1","0","00"
"MT","029","1","0","00"
"MT","035","1","0","00"
"MT","041","1","0","00"
"MT","043","0","1","22"
"MT","047","1","0","00"
"MT","049","0","1","22"
"MT","051","1","0","00"
"MT","055","1","0","00"
"MT","063","1","1","23"
"MT","071","1","0","00"
"MT","073","1","0","00"
"MT","083","1","0","00"
"MT","085","1","0","00"
"MT","087","1","0","00"
"MT","089","1","0","00"
"MT","091","1","0","00"
"MT","093","0","1","20"
"MT","103","1","0","00"
"MT","105","1","0","00"
"MT","111","1","1","19"
"NE","015","1","0","00"
"NE","021","1","0","00"
"NE","031","1","0","00"
"NE","039","1","0","00"
"NE","043","1","0","00"
"NE","045","1","0","00"
"NE","051","1","0","00"
"NE","055","1","1","14"
"NE","079","1","0","00"
"NE","089","1","0","00"
"NE","107","1","0","00"
"NE","109","1","1","14"
"NE","119","1","0","00"
"NE","141","1","0","00"
"NE","147","1","0","00"
"NE","153","1","1","14"
"NE","161","1","0","00"
"NE","167","1","0","00"
"NE","173","1","0","00"
"NE","177","0","1","14"
"NE","179","1","0","00"
"NV","001","1","1","24"
"NV","003","1","0","00"
"NV","005","1","1","24"
"NV","007","1","0","00"
"NV","009","1","0","00"
"NV","011","1","0","00"
"NV","013","1","0","00"
"NV","015","1","0","00"
"NV","017","1","0","00"
"NV","019","1","0","00"
"NV","021","1","0","00"
"NV","023","1","0","00"
"NV","027","1","0","00"
"NV","029","1","1","24"
"NV","031","1","1","24"
"NV","033","1","0","00"
"NV","510","1","1","24"
"NM","001","1","1","25"
"NM","005","1","0","00"
"NM","006","1","0","00"
"NM","007","1","0","00"
"NM","027","1","0","00"
"NM","028","1","0","00"
"NM","031","1","0","00"
"NM","035","1","0","00"
"NM","039","1","0","00"
"NM","043","1","1","25"
"NM","045","1","0","00"
"NM","049","1","0","00"
"NM","053","1","0","00"
"NM","055","1","0","00"
"NM","057","1","0","00"
"NM","061","1","0","00"
"NY","003","1","0","00"
"NY","005","0","1","26"
"NY","009","1","0","00"
"NY","013","1","0","00"
"NY","017","1","0","00"
"NY","023","1","0","00"
"NY","029","1","0","00"
"NY","033","1","0","00"
"NY","037","1","0","00"
"NY","043","1","0","00"
"NY","047","0","1","26"
"NY","053","1","0","00"
"NY","059","1","0","00"
"NY","061","0","1","26"
"NY","063","1","0","00"
"NY","065","1","0","00"
"NY","067","1","0","00"
"NY","081","0","1","26"
"NY","085","0","1","26"
"NY","089","1","0","00"
"NY","103","1","0","00"
"NC","025","1","0","00"
"NC","039","1","0","00"
"NC","045","1","0","00"
"NC","071","1","0","00"
"NC","075","1","0","00"
"NC","087","1","0","00"
"NC","099","1","0","00"
"NC","119","1","0","00"
"NC","161","1","0","00"
"NC","173","1","0","00"
"NC","179","1","0","00"
"ND","001","1","0","00"
"ND","005","1","0","00"
"ND","023","1","0","00"
"ND","025","1","0","00"
"ND","027","1","0","00"
"ND","029","1","0","00"
"ND","037","1","0","00"
"ND","053","1","0","00"
"ND","055","1","0","00"
"ND","057","1","0","00"
"ND","059","1","0","00"
"ND","061","1","0","00"
"ND","063","1","0","00"
"ND","071","1","0","00"
"ND","077","1","0","00"
"ND","079","1","0","00"
"ND","081","1","0","00"
"ND","085","1","0","00"
"ND","101","1","0","00"
"ND","105","1","0","00"
"OR","003","1","0","00"
"OR","005","1","1","27"
"OR","009","1","0","00"
"OR","011","1","0","00"
"OR","015","1","0","00"
"OR","017","1","0","00"
"OR","019","1","0","00"
"OR","025","1","0","00"
"OR","029","1","0","00"
"OR","031","1","0","00"
"OR","033","1","0","00"
